,month,hour,boro,noise_counts
347,3,21,Manhattan,57094700611
348,3,21,Queens,28426607201
349,3,21,Staten Island,3453434609
350,3,22,Bronx,56951809037
351,3,22,Brooklyn,57092485544
352,3,22,Manhattan,84522610786
353,3,22,Queens,42894962851
354,3,22,Staten Island,4453014298
355,3,23,Bronx,61558379117
356,3,23,Brooklyn,62794523312
357,3,23,Manhattan,87926406596
358,3,23,Queens,48497243143
359,3,23,Staten Island,6656652903
360,4,00,Bronx,69801072049
361,4,00,Brooklyn,66534376434
362,4,00,Manhattan,103698893003
363,4,00,Queens,51090221255
364,4,00,Staten Island,5883204316
365,4,01,Bronx,43019873728
366,4,01,Brooklyn,41503103069
367,4,01,Manhattan,62766852830
368,4,01,Queens,31236120747
369,4,01,Staten Island,2620630687
370,4,02,Bronx,26102396963
371,4,02,Brooklyn,26309140305
372,4,02,Manhattan,35472250472
373,4,02,Queens,22580039815
374,4,02,Staten Island,1508672990
375,4,03,Bronx,14632792011
376,4,03,Brooklyn,14885155073
377,4,03,Manhattan,20067021923
378,4,03,Queens,15237119009
379,4,03,Staten Island,1558968359
380,4,04,Bronx,9907839458
381,4,04,Brooklyn,10912427037
382,4,04,Manhattan,13477635499
383,4,04,Queens,12682905333
384,4,04,Staten Island,955394666
385,4,05,Bronx,5481430767
386,4,05,Brooklyn,7744892354
387,4,05,Manhattan,8046874313
388,4,05,Queens,6186015360
389,4,05,Staten Island,301402535
390,4,06,Bronx,4928308034
391,4,06,Brooklyn,8148500306
392,4,06,Manhattan,8801873011
393,4,06,Queens,6036157067
394,4,06,Staten Island,200983281
395,4,07,Bronx,4878167930
396,4,07,Brooklyn,10057804798
397,4,07,Manhattan,10409955881
398,4,07,Queens,7090793101
399,4,07,Staten Island,1156974486
400,4,08,Bronx,6285264357
401,4,08,Brooklyn,12676639486
402,4,08,Manhattan,11969495718
403,4,08,Queens,7996996707
404,4,08,Staten Island,1358349429
405,4,09,Bronx,7491143877
406,4,09,Brooklyn,14283018438
407,4,09,Manhattan,14333982330
408,4,09,Queens,10762317767
409,4,09,Staten Island,1508464253
410,4,10,Bronx,9101150638
411,4,10,Brooklyn,14033654690
412,4,10,Manhattan,17902295125
413,4,10,Queens,10259778553
414,4,10,Staten Island,1307526460
415,4,11,Bronx,10559530504
416,4,11,Brooklyn,16548716307
417,4,11,Manhattan,16951615780
418,4,11,Queens,11366447239
419,4,11,Staten Island,1458374226
420,4,12,Bronx,11316986527
421,4,12,Brooklyn,17452882037
422,4,12,Manhattan,17152668956
423,4,12,Queens,12720231340
424,4,12,Staten Island,1609736857
425,4,13,Bronx,14784907878
426,4,13,Brooklyn,16950102007
427,4,13,Manhattan,18912974939
428,4,13,Queens,12926006932
429,4,13,Staten Island,1658883935
430,4,14,Bronx,16493958914
431,4,14,Brooklyn,19815306444
432,4,14,Manhattan,21928483823
433,4,14,Queens,11214872793
434,4,14,Staten Island,1910449163
435,4,15,Bronx,20923492973
436,4,15,Brooklyn,22481036295
437,4,15,Manhattan,30680243542
438,4,15,Queens,17149234786
439,4,15,Staten Island,2615495309
440,4,16,Bronx,23793381795
441,4,16,Brooklyn,23338891187
442,4,16,Manhattan,30476945733
443,4,16,Queens,22030645335
444,4,16,Staten Island,2765548262
445,4,17,Bronx,33657703054
446,4,17,Brooklyn,28968046866
447,4,17,Manhattan,36113795846
448,4,17,Queens,22379391345
449,4,17,Staten Island,3620756543
450,4,18,Bronx,42311383769
451,4,18,Brooklyn,32337162196
452,4,18,Manhattan,42050414540
453,4,18,Queens,24443919666
454,4,18,Staten Island,3319279477
455,4,19,Bronx,50814440406
456,4,19,Brooklyn,40083344395
457,4,19,Manhattan,46778840978
458,4,19,Queens,27010208641
459,4,19,Staten Island,4426958711
460,4,20,Bronx,61617270459
461,4,20,Brooklyn,50095036790
462,4,20,Manhattan,66601891325
463,4,20,Queens,31935766621
464,4,20,Staten Island,4779119270
465,4,21,Bronx,70253767448
466,4,21,Brooklyn,63328309490
467,4,21,Manhattan,85917201091
468,4,21,Queens,42500030537
469,4,21,Staten Island,6286418212
470,4,22,Bronx,82675937635
471,4,22,Brooklyn,85871410519
472,4,22,Manhattan,111106641268
473,4,22,Queens,50246817546
474,4,22,Staten Island,6488108371
475,4,23,Bronx,80422103246
476,4,23,Brooklyn,90637823665
477,4,23,Manhattan,124932615651
478,4,23,Queens,58533542785
479,4,23,Staten Island,7291588075
480,5,00,Bronx,111585523080
481,5,00,Brooklyn,102771494024
482,5,00,Manhattan,134969448216
483,5,00,Queens,71011525044
484,5,00,Staten Island,9310835139
485,5,01,Bronx,82864439756
486,5,01,Brooklyn,65162724404
487,5,01,Manhattan,86980186074
488,5,01,Queens,54718150301
489,5,01,Staten Island,4152420213
490,5,02,Bronx,47711430343
491,5,02,Brooklyn,39666149556
492,5,02,Manhattan,48825602626
493,5,02,Queens,30208194356
494,5,02,Staten Island,2277023458
495,5,03,Bronx,33482260521
496,5,03,Brooklyn,21653497688
497,5,03,Manhattan,25234966998
498,5,03,Queens,27623813305
499,5,03,Staten Island,1872338973
500,5,04,Bronx,22711638078
501,5,04,Brooklyn,13965957155
502,5,04,Manhattan,14917707633
503,5,04,Queens,13002241630
504,5,04,Staten Island,354003132
505,5,05,Bronx,10975222192
506,5,05,Brooklyn,8852268797
507,5,05,Manhattan,9154619658
508,5,05,Queens,8299320587
509,5,05,Staten Island,202475811
510,5,06,Bronx,7130212308
511,5,06,Brooklyn,9002526158
512,5,06,Manhattan,8244553176
513,5,06,Queens,6427659582
514,5,06,Staten Island,506063354
515,5,07,Bronx,7890553138
516,5,07,Brooklyn,11079012998
517,5,07,Manhattan,10470688674
518,5,07,Queens,8091119151
519,5,07,Staten Island,1215231672
520,5,08,Bronx,8750999412
521,5,08,Brooklyn,13505374347
522,5,08,Manhattan,11733297147
523,5,08,Queens,11129732338
524,5,08,Staten Island,1467272444
525,5,09,Bronx,8802679842
526,5,09,Brooklyn,17558206463
527,5,09,Manhattan,14164917629
528,5,09,Queens,13455738622
529,5,09,Staten Island,1719947402
530,5,10,Bronx,8045047497
531,5,10,Brooklyn,15630374999
532,5,10,Manhattan,15527035253
533,5,10,Queens,11279942004
534,5,10,Staten Island,2023993896
535,5,11,Bronx,10269536131
536,5,11,Brooklyn,17907627029
537,5,11,Manhattan,15526330605
538,5,11,Queens,16083245978
539,5,11,Staten Island,1163550133
540,5,12,Bronx,10522834720
541,5,12,Brooklyn,19425711997
542,5,12,Manhattan,18614938577
543,5,12,Queens,15479468723
544,5,12,Staten Island,1365699490
545,5,13,Bronx,15630697484
546,5,13,Brooklyn,20894527877
547,5,13,Manhattan,20078140709
548,5,13,Queens,16695340534
549,5,13,Staten Island,2225692397
550,5,14,Bronx,20531437657
